window_id,media_id,system_id,room_id,session_id,source_type,start_time,end_time,duration_seconds,video_path,video_start_offset_sec,has_audio,zone_config_id,quality_status,warnings
video_000001_w0076,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:08:16-03:00,2025-08-17T08:08:46-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,750.0,True,default_zone,warning,mapping_override
video_000001_w0077,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:08:26-03:00,2025-08-17T08:08:56-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,760.0,True,default_zone,warning,mapping_override
video_000001_w0078,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:08:36-03:00,2025-08-17T08:09:06-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,770.0,True,default_zone,warning,mapping_override
video_000001_w0079,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:08:46-03:00,2025-08-17T08:09:16-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,780.0,True,default_zone,warning,mapping_override
video_000001_w0080,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:08:56-03:00,2025-08-17T08:09:26-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,790.0,True,default_zone,warning,mapping_override
video_000001_w0081,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:09:06-03:00,2025-08-17T08:09:36-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,800.0,True,default_zone,warning,mapping_override
video_000001_w0082,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:09:16-03:00,2025-08-17T08:09:46-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,810.0,True,default_zone,warning,mapping_override
video_000001_w0083,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:09:26-03:00,2025-08-17T08:09:56-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,820.0,True,default_zone,warning,mapping_override
video_000001_w0084,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:09:36-03:00,2025-08-17T08:10:06-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,830.0,True,default_zone,warning,mapping_override
video_000001_w0085,video_000001,free_range,room_1,caretaker_entry_week_11_17_aug,caretaker_entry_reference,2025-08-17T08:09:46-03:00,2025-08-17T08:10:16-03:00,30.0,data/raw/Caretaker Entry Video/Room 1/Week 11/17 Aug/GX320044.MP4,840.0,True,default_zone,warning,mapping_override
