window_id,media_id,room_id,session_id,start_time,end_time,audio_rms,audio_short_time_energy,audio_zero_crossing_rate,audio_spectral_centroid,audio_spectral_bandwidth,audio_spectral_rolloff,audio_spectral_flatness,audio_duration_sec,audio_sample_rate,audio_available,audio_quality_flag,audio_warning
video_000027_w0227,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:42:09-03:00,2025-08-17T02:42:39-03:00,0.0559614486992359,0.0031576727051287,0.0401046201586723,1110.0943603515625,1497.264892578125,2205.033447265625,0.1028123050928115,30.0,22050,True,ok,
video_000027_w0228,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:42:19-03:00,2025-08-17T02:42:49-03:00,0.0555465184152126,0.0031230745371431,0.0402724184095859,1117.9454345703125,1500.47802734375,2214.13330078125,0.1036695539951324,30.0,22050,True,ok,
video_000027_w0229,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:42:29-03:00,2025-08-17T02:42:59-03:00,0.0559339374303817,0.0031814074609428,0.0401288084685802,1119.317626953125,1498.1260986328125,2217.2666015625,0.103558637201786,30.0,22050,True,ok,
video_000027_w0230,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:42:39-03:00,2025-08-17T02:43:09-03:00,0.0570889078080654,0.0033189167734235,0.0390055514872074,1107.7344970703125,1493.2325439453125,2201.833251953125,0.1029410436749458,30.0,22050,True,ok,
video_000027_w0231,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:42:49-03:00,2025-08-17T02:43:19-03:00,0.0565340928733348,0.0032407960388809,0.0393774472177028,1103.11474609375,1490.7896728515625,2195.7333984375,0.1021577268838882,30.0,22050,True,ok,
video_000027_w0232,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:42:59-03:00,2025-08-17T02:43:29-03:00,0.0565624050796031,0.0032312099356204,0.0393850095570087,1108.2515869140625,1502.7650146484375,2197.699951171875,0.1048683300614357,30.0,22050,True,ok,
video_000027_w0233,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:43:09-03:00,2025-08-17T02:43:39-03:00,0.0566476956009864,0.0032241886947304,0.0393094085156917,1116.303466796875,1514.586669921875,2204.10009765625,0.1072525754570961,30.0,22050,True,ok,
video_000027_w0234,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:43:19-03:00,2025-08-17T02:43:49-03:00,0.0573199987411499,0.0033067858312278,0.0392716266214847,1116.2852783203125,1512.3006591796875,2205.833251953125,0.1069381237030029,30.0,22050,True,ok,
video_000027_w0235,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:43:29-03:00,2025-08-17T02:43:59-03:00,0.0580213218927383,0.0033864378929138,0.0384628102183342,1103.567138671875,1501.063232421875,2194.666748046875,0.1045458167791366,30.0,22050,True,ok,
video_000027_w0236,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:43:39-03:00,2025-08-17T02:44:09-03:00,0.057169672101736,0.003288349835202,0.0391370765864849,1096.9505615234375,1488.673828125,2188.86669921875,0.1023808494210243,30.0,22050,True,ok,
video_000027_w0237,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:43:49-03:00,2025-08-17T02:44:19-03:00,0.0567468143999576,0.0032335391733795,0.0390448532998561,1097.7559814453125,1490.1942138671875,2186.63330078125,0.1030200570821762,30.0,22050,True,ok,
video_000027_w0238,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:43:59-03:00,2025-08-17T02:44:29-03:00,0.0563951656222343,0.0031985009554773,0.0396027043461799,1105.315673828125,1495.676513671875,2192.933349609375,0.1043441668152809,30.0,22050,True,ok,
video_000027_w0239,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:44:09-03:00,2025-08-17T02:44:39-03:00,0.0569533742964267,0.0032775208819657,0.0392217300832271,1103.3338623046875,1492.8663330078125,2191.89990234375,0.1037748828530311,30.0,22050,True,ok,
video_000027_w0240,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:44:19-03:00,2025-08-17T02:44:49-03:00,0.0573517195880413,0.0033315154723823,0.0390070602297782,1100.3206787109375,1490.7135009765625,2188.2666015625,0.1026339828968048,30.0,22050,True,ok,
video_000027_w0241,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:44:29-03:00,2025-08-17T02:44:59-03:00,0.0563462041318416,0.0032097627408802,0.0390252023935318,1100.22412109375,1484.932861328125,2188.63330078125,0.1011186316609382,30.0,22050,True,ok,
video_000027_w0242,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:44:39-03:00,2025-08-17T02:45:09-03:00,0.0558626912534236,0.0031405987683683,0.0392746515572071,1100.5362548828125,1488.744873046875,2186.933349609375,0.1016714870929718,30.0,22050,True,ok,
video_000027_w0243,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:44:49-03:00,2025-08-17T02:45:19-03:00,0.0558261759579181,0.0031339810229837,0.0394409410655498,1106.7684326171875,1493.7376708984375,2198.5,0.1031815558671951,30.0,22050,True,ok,
video_000027_w0244,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:44:59-03:00,2025-08-17T02:45:29-03:00,0.0567312464118003,0.0032358940225094,0.0393608175218105,1099.3594970703125,1494.275634765625,2189.36669921875,0.1033681854605674,30.0,22050,True,ok,
video_000027_w0245,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:45:09-03:00,2025-08-17T02:45:39-03:00,0.0571471713483333,0.0032896308694034,0.039115909487009,1099.25439453125,1491.7352294921875,2191.433349609375,0.1029355376958847,30.0,22050,True,ok,
video_000027_w0246,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:45:19-03:00,2025-08-17T02:45:49-03:00,0.0565747804939746,0.0032184652518481,0.0394575707614421,1095.1156005859375,1483.952880859375,2184.60009765625,0.1013063713908195,30.0,22050,True,ok,
video_000027_w0247,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:45:29-03:00,2025-08-17T02:45:59-03:00,0.0565119870007038,0.0032341389451175,0.0397327169775962,1099.978271484375,1482.733154296875,2192.699951171875,0.1010684669017791,30.0,22050,True,ok,
video_000027_w0248,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:45:39-03:00,2025-08-17T02:46:09-03:00,0.0565947294235229,0.0032463292591273,0.0398536659777164,1103.6068115234375,1486.090087890625,2196.60009765625,0.101934365928173,30.0,22050,True,ok,
video_000027_w0249,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:45:49-03:00,2025-08-17T02:46:19-03:00,0.0581808201968669,0.0034364275634288,0.0384960733354091,1100.306396484375,1493.7957763671875,2193.10009765625,0.1036453992128372,30.0,22050,True,ok,
video_000027_w0250,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:45:59-03:00,2025-08-17T02:46:29-03:00,0.0580539219081401,0.0034147982951253,0.038370594382286,1106.9974365234375,1497.0042724609375,2198.699951171875,0.1042785421013832,30.0,22050,True,ok,
video_000027_w0251,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:46:09-03:00,2025-08-17T02:46:39-03:00,0.0574707798659801,0.0033577163703739,0.0390463657677173,1111.4515380859375,1499.3853759765625,2203.10009765625,0.1041801869869232,30.0,22050,True,ok,
video_000027_w0252,video_000027,room_1,room_1_16_17_aug,2025-08-17T02:46:19-03:00,2025-08-17T02:46:49-03:00,0.0556919649243354,0.0031513010617345,0.0409013256430625,1121.102783203125,1499.2650146484375,2215.86669921875,0.1040392890572547,30.0,22050,True,ok,
