window_id,room_id,session_id,start_time,end_time,event_id,event_phase,minutes_from_event_start,event_start_time,event_end_time,model_name,model_type,state_id,state_probability_max,risk_score,risk_level
video_000003_w0116,room_1,room_1_16_17_aug,2025-08-16T06:19:13-03:00,2025-08-16T06:19:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0117,room_1,room_1_16_17_aug,2025-08-16T06:19:23-03:00,2025-08-16T06:19:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0118,room_1,room_1_16_17_aug,2025-08-16T06:19:33-03:00,2025-08-16T06:20:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0119,room_1,room_1_16_17_aug,2025-08-16T06:19:43-03:00,2025-08-16T06:20:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0120,room_1,room_1_16_17_aug,2025-08-16T06:19:53-03:00,2025-08-16T06:20:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0121,room_1,room_1_16_17_aug,2025-08-16T06:20:03-03:00,2025-08-16T06:20:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0122,room_1,room_1_16_17_aug,2025-08-16T06:20:13-03:00,2025-08-16T06:20:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0123,room_1,room_1_16_17_aug,2025-08-16T06:20:23-03:00,2025-08-16T06:20:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0124,room_1,room_1_16_17_aug,2025-08-16T06:20:33-03:00,2025-08-16T06:21:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0125,room_1,room_1_16_17_aug,2025-08-16T06:20:43-03:00,2025-08-16T06:21:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0126,room_1,room_1_16_17_aug,2025-08-16T06:20:53-03:00,2025-08-16T06:21:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0127,room_1,room_1_16_17_aug,2025-08-16T06:21:03-03:00,2025-08-16T06:21:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0128,room_1,room_1_16_17_aug,2025-08-16T06:21:13-03:00,2025-08-16T06:21:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0129,room_1,room_1_16_17_aug,2025-08-16T06:21:23-03:00,2025-08-16T06:21:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0130,room_1,room_1_16_17_aug,2025-08-16T06:21:33-03:00,2025-08-16T06:22:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0131,room_1,room_1_16_17_aug,2025-08-16T06:21:43-03:00,2025-08-16T06:22:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0132,room_1,room_1_16_17_aug,2025-08-16T06:21:53-03:00,2025-08-16T06:22:23-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0133,room_1,room_1_16_17_aug,2025-08-16T06:22:03-03:00,2025-08-16T06:22:33-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0134,room_1,room_1_16_17_aug,2025-08-16T06:22:13-03:00,2025-08-16T06:22:43-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0135,room_1,room_1_16_17_aug,2025-08-16T06:22:23-03:00,2025-08-16T06:22:53-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0136,room_1,room_1_16_17_aug,2025-08-16T06:22:33-03:00,2025-08-16T06:23:03-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
video_000003_w0137,room_1,room_1_16_17_aug,2025-08-16T06:22:43-03:00,2025-08-16T06:23:13-03:00,,outside_event_window,,,,video_only,gaussian_hmm,1,1.0,0.10533045975560866,low
